year,country,robot_density
2010,BRA,10.0
2011,BRA,10.2
2012,BRA,10.4
2013,BRA,10.6
2014,BRA,10.8
2015,BRA,11.0
2016,BRA,11.4
2017,BRA,11.8
2018,BRA,12.2
2019,BRA,12.6
2020,BRA,13.0
2021,BRA,13.666666666666666
2022,BRA,14.333333333333334
2023,BRA,15.0
2010,CAN,121.0
2011,CAN,122.8
2012,CAN,124.6
2013,CAN,126.4
2014,CAN,128.2
2015,CAN,130.0
2016,CAN,137.0
2017,CAN,144.0
2018,CAN,151.0
2019,CAN,158.0
2020,CAN,165.0
2021,CAN,170.0
2022,CAN,175.0
2023,CAN,180.0
2010,CHN,68.0
2011,CHN,64.2
2012,CHN,60.4
2013,CHN,56.6
2014,CHN,52.8
2015,CHN,49.0
2016,CHN,88.4
2017,CHN,127.8
2018,CHN,167.2
2019,CHN,206.6
2020,CHN,246.0
2021,CHN,320.6666666666667
2022,CHN,395.33333333333337
2023,CHN,470.0
2010,DEU,261.0
2011,DEU,270.6
2012,DEU,280.2
2013,DEU,289.8
2014,DEU,299.4
2015,DEU,309.0
2016,DEU,321.4
2017,DEU,333.8
2018,DEU,346.2
2019,DEU,358.6
2020,DEU,371.0
2021,DEU,385.6666666666667
2022,DEU,400.3333333333333
2023,DEU,415.0
2010,ESP,136.0
2011,ESP,139.2
2012,ESP,142.4
2013,ESP,145.6
2014,ESP,148.8
2015,ESP,152.0
2016,ESP,159.8
2017,ESP,167.6
2018,ESP,175.4
2019,ESP,183.2
2020,ESP,191.0
2021,ESP,197.0
2022,ESP,203.0
2023,ESP,209.0
2010,FRA,122.0
2011,FRA,124.0
2012,FRA,126.0
2013,FRA,128.0
2014,FRA,130.0
2015,FRA,132.0
2016,FRA,141.0
2017,FRA,150.0
2018,FRA,159.0
2019,FRA,168.0
2020,FRA,177.0
2021,FRA,182.66666666666666
2022,FRA,188.33333333333334
2023,FRA,194.0
2010,IND,3.0
2011,IND,3.0
2012,IND,3.0
2013,IND,3.0
2014,IND,3.0
2015,IND,3.0
2016,IND,3.2
2017,IND,3.4
2018,IND,3.6
2019,IND,3.8
2020,IND,4.0
2021,IND,4.333333333333333
2022,IND,4.666666666666667
2023,IND,5.0
2010,ITA,159.0
2011,ITA,164.2
2012,ITA,169.4
2013,ITA,174.6
2014,ITA,179.8
2015,ITA,185.0
2016,ITA,192.8
2017,ITA,200.6
2018,ITA,208.4
2019,ITA,216.2
2020,ITA,224.0
2021,ITA,229.66666666666666
2022,ITA,235.33333333333334
2023,ITA,241.0
2010,JPN,308.0
2011,JPN,307.4
2012,JPN,306.8
2013,JPN,306.2
2014,JPN,305.6
2015,JPN,305.0
2016,JPN,316.8
2017,JPN,328.6
2018,JPN,340.4
2019,JPN,352.2
2020,JPN,364.0
2021,JPN,382.3333333333333
2022,JPN,400.6666666666667
2023,JPN,419.0
2010,KOR,347.0
2011,KOR,383.8
2012,KOR,420.6
2013,KOR,457.4
2014,KOR,494.2
2015,KOR,531.0
2016,KOR,595.8
2017,KOR,660.6
2018,KOR,725.4
2019,KOR,790.2
2020,KOR,855.0
2021,KOR,907.3333333333334
2022,KOR,959.6666666666666
2023,KOR,1012.0
2010,MEX,33.0
2011,MEX,33.6
2012,MEX,34.2
2013,MEX,34.8
2014,MEX,35.4
2015,MEX,36.0
2016,MEX,38.2
2017,MEX,40.4
2018,MEX,42.6
2019,MEX,44.8
2020,MEX,47.0
2021,MEX,49.666666666666664
2022,MEX,52.333333333333336
2023,MEX,55.0
2010,NLD,84.0
2011,NLD,85.6
2012,NLD,87.2
2013,NLD,88.8
2014,NLD,90.4
2015,NLD,92.0
2016,NLD,95.6
2017,NLD,99.2
2018,NLD,102.8
2019,NLD,106.4
2020,NLD,110.0
2021,NLD,115.0
2022,NLD,120.0
2023,NLD,125.0
2010,SGP,220.0
2011,SGP,255.6
2012,SGP,291.2
2013,SGP,326.8
2014,SGP,362.4
2015,SGP,398.0
2016,SGP,439.4
2017,SGP,480.8
2018,SGP,522.2
2019,SGP,563.6
2020,SGP,605.0
2021,SGP,646.6666666666666
2022,SGP,688.3333333333334
2023,SGP,730.0
2010,TUR,14.0
2011,TUR,14.8
2012,TUR,15.6
2013,TUR,16.4
2014,TUR,17.2
2015,TUR,18.0
2016,TUR,19.6
2017,TUR,21.2
2018,TUR,22.8
2019,TUR,24.4
2020,TUR,26.0
2021,TUR,28.333333333333332
2022,TUR,30.666666666666668
2023,TUR,33.0
2010,USA,176.0
2011,USA,178.6
2012,USA,181.2
2013,USA,183.8
2014,USA,186.4
2015,USA,189.0
2016,USA,202.2
2017,USA,215.4
2018,USA,228.6
2019,USA,241.8
2020,USA,255.0
2021,USA,265.0
2022,USA,275.0
2023,USA,285.0
